"date","start","title","rnum","end","summary","location","description"
2026-04-10,"2026-04-09T23:50:00Z","イントロダクション",1,"2026-04-10T01:20:00Z","基礎演習: 1. イントロダクション","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-04-17,"2026-04-16T23:50:00Z","引用・プレゼンテーションの方法",2,"2026-04-17T01:20:00Z","基礎演習: 2. 引用・プレゼンテーションの方法","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-04-24,"2026-04-23T23:50:00Z","発表: グループ1",3,"2026-04-24T01:20:00Z","基礎演習: 3. 発表: グループ1","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-05-01,"2026-04-30T23:50:00Z","発表: グループ2",4,"2026-05-01T01:20:00Z","基礎演習: 4. 発表: グループ2","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-05-15,"2026-05-14T23:50:00Z","発表: グループ3",5,"2026-05-15T01:20:00Z","基礎演習: 5. 発表: グループ3","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-05-22,"2026-05-21T23:50:00Z","発表: グループ4",6,"2026-05-22T01:20:00Z","基礎演習: 6. 発表: グループ4","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-05-29,"2026-05-28T23:50:00Z","発表: グループ5",7,"2026-05-29T01:20:00Z","基礎演習: 7. 発表: グループ5","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-06-05,"2026-06-04T23:50:00Z","発表: グループ6",8,"2026-06-05T01:20:00Z","基礎演習: 8. 発表: グループ6","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-06-12,"2026-06-11T23:50:00Z","データ分析の基礎1",9,"2026-06-12T01:20:00Z","基礎演習: 9. データ分析の基礎1","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-06-19,"2026-06-18T23:50:00Z","データ分析の基礎2",10,"2026-06-19T01:20:00Z","基礎演習: 10. データ分析の基礎2","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-06-26,"2026-06-25T23:50:00Z","発表: グループ1",11,"2026-06-26T01:20:00Z","基礎演習: 11. 発表: グループ1","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-07-03,"2026-07-02T23:50:00Z","発表: グループ2",12,"2026-07-03T01:20:00Z","基礎演習: 12. 発表: グループ2","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-07-10,"2026-07-09T23:50:00Z","発表: グループ3",13,"2026-07-10T01:20:00Z","基礎演習: 13. 発表: グループ3","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-07-17,"2026-07-16T23:50:00Z","発表: グループ4",14,"2026-07-17T01:20:00Z","基礎演習: 14. 発表: グループ4","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-07-24,"2026-07-23T23:50:00Z","発表: グループ5",15,"2026-07-24T01:20:00Z","基礎演習: 15. 発表: グループ5","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
2026-07-31,"2026-07-30T23:50:00Z","発表: グループ6",16,"2026-07-31T01:20:00Z","基礎演習: 16. 発表: グループ6","アカデミア館503","https://kazuyanagimoto.com/course-first-year-2025/"
